geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031070200,2,0.2,41.9290777,-87.646293,2,0.1217,0.0141,0.3894,0.8215,0.1574,0.0,0.0,0.0,0.0,0.0
17031070300,2,0.3333333333333333,41.9290462,-87.6513103,2,0.1288,0.0071,0.1435,0.4669,0.0357,0.0,0.0,0.0,0.0,1.0
17031070400,2,0.2222222222222222,41.9289672,-87.6561563,2,0.2281,0.062,0.5791,0.6432,0.2772,0.0,0.0,0.0,0.0,1.0
17031070500,2,0.125,41.9289455,-87.6608922,2,0.0649,0.0408,0.3942,0.9775,0.2907,0.0,0.0,0.0,0.0,0.0
17031070600,2,0.0,41.9287627,-87.6656766,2,0.0051,0.0434,0.2697,0.1689,0.0151,0.0,0.0,0.0,0.0,0.0
17031070700,2,0.0,41.9306521,-87.6741038,2,0.1882,0.0565,0.6533,0.6532,0.2718,0.0,0.0,0.0,0.0,0.0
17031071000,2,0.2857142857142857,41.9217011,-87.6559114,2,0.2827,0.0119,0.3949,0.6757,0.1703,0.0,0.0,0.0,0.0,0.0
17031071100,2,0.25,41.9217778,-87.6510614,2,0.1243,0.0263,0.251,0.6814,0.1134,0.0,0.0,0.0,0.0,0.0
17031071200,2,0.1111111111111111,41.9218547,-87.6462106,2,0.0858,0.0633,0.5772,0.3073,0.1214,0.0,0.0,0.0,0.0,0.0
17031071300,2,0.0,41.9217794,-87.6414578,2,0.1002,0.0295,0.4937,0.7293,0.1616,0.0,0.0,0.0,0.0,0.0
17031071400,2,0.0,41.9227255,-87.6295259,2,0.1519,0.0453,0.4555,0.8976,0.2904,0.0,0.0,0.0,0.0,0.0
17031071500,2,0.1,41.9142415,-87.6250923,2,0.0164,0.0202,0.288,0.4316,0.0305,0.0,0.0,0.0,0.0,0.0
17031071600,2,0.0,41.9164722,-87.6411823,2,0.2939,0.148,0.366,0.2412,0.1937,0.0,0.0,0.0,0.0,0.0
17031071700,2,0.42857142857142855,41.9128666,-87.6410717,2,0.0029,0.036,0.4385,0.4583,0.0662,0.0,0.0,0.0,0.0,0.0
17031071800,2,0.2222222222222222,41.9145855,-87.645966,2,0.0826,0.0594,0.2212,0.1981,0.0379,0.0,0.0,0.0,0.0,0.0
17031080100,2,0.3333333333333333,41.9075487,-87.62679,2,0.0427,0.0925,0.1223,0.3558,0.061,0.0,0.0,0.0,0.0,0.0
17031080201,2,0.2,41.9094976,-87.6310051,2,0.1494,0.0787,0.495,0.5999,0.2268,0.0,0.0,0.0,0.0,0.0
17031080202,2,0.7142857142857143,41.9058589,-87.630901,2,0.0215,0.0405,0.3406,0.6596,0.1066,0.0,0.0,0.0,0.0,0.0
17031080300,2,0.5,41.9074899,-87.6357987,2,0.107,0.0218,0.3242,0.8487,0.1603,0.0,0.0,0.0,0.0,1.0
17031080400,2,0.5714285714285714,41.9074123,-87.6409015,2,0.611,0.5145,0.6565,0.6567,0.6588,0.0,0.0,0.0,0.0,0.0
17031081000,2,0.75,41.9002655,-87.6321089,2,0.4321,0.1888,0.6363,0.9602,0.638,0.0,0.0,0.0,0.0,2.0
17031081100,2,0.4444444444444444,41.9002211,-87.6291049,2,0.3052,0.0414,0.5101,0.7701,0.3068,0.0,0.0,0.0,0.0,2.0
17031081201,2,0.42857142857142855,41.8991538,-87.626212,2,0.1034,0.079,0.513,0.938,0.3611,0.0,0.0,0.0,0.0,0.0
17031081202,2,0.625,41.9043769,-87.6242374,2,0.026,0.1586,0.3127,0.7723,0.2226,0.0,0.0,0.0,0.0,0.0
17031081300,2,0.6666666666666666,41.8983354,-87.6207531,2,0.1388,0.2055,0.5156,0.6824,0.3158,0.0,0.0,0.0,0.0,0.0
